MP30_TEST_356P_T Side_Top_MIRROR DETECT	Bond Gap: 200 Microns
Time	Force (mN)	Averaged CDS (microns)
03:01:.909	0.140431	535.740580
03:02:.220	0.179635	536.829491
03:02:.509	0.240803	537.880305
03:02:.805	0.194818	538.863001
03:03:.127	0.192485	539.850232
03:03:.437	0.236556	540.935999
03:03:.750	0.275049	541.993618
03:04:.054	0.313518	543.056906
03:04:.354	0.288829	544.140236
03:04:.644	0.229630	545.148534
03:04:.972	0.177813	546.262773
03:05:.269	0.211167	547.315137
03:05:.580	0.194842	548.353020
03:06:.006	0.177918	549.937715
03:06:.331	0.128007	550.963850
03:06:.695	0.161522	552.116472
03:06:.982	0.130649	553.244206
03:07:.266	0.116138	554.235999
03:07:.546	0.072626	555.229437
03:07:.827	0.094174	556.216559
03:08:.115	0.172131	557.203396
03:08:.436	0.167030	558.389613
03:08:.735	0.139968	559.494037
03:09:.029	0.093765	560.520710
03:09:.438	0.088128	561.557437
03:09:.736	0.107364	563.048802
03:10:.085	0.048850	564.123477
03:10:.395	0.091633	565.300859
03:10:.686	0.132714	566.292079
03:11:.017	0.221761	567.298180
03:11:.347	0.106389	568.534772
03:11:.675	0.049249	569.721561
03:11:.985	0.040787	570.930301
03:12:.301	0.005369	572.084460
03:12:.595	-0.011655	573.260112
03:12:.903	0.016492	574.373193
03:13:.201	0.008763	575.443140
03:13:.501	0.018521	576.539213
03:13:.816	0.020450	577.587068
03:14:.138	0.053562	578.666244
03:14:.458	0.097524	579.760357
03:14:.783	0.112874	580.880090
03:15:.095	0.219958	582.012720
03:15:.415	0.044341	583.256799
03:15:.721	0.039476	584.386334
03:16:.024	0.014690	585.561457
03:16:.314	0.027390	586.718243
03:16:.662	0.051425	587.762175
03:17:.055	0.035707	589.496128
03:17:.704	0.043581	591.050792
03:17:.998	-0.003695	592.981053
03:18:.303	-0.041000	593.983468
03:18:.617	-0.019610	595.130411
03:18:.917	0.020603	596.177920
03:19:.221	0.016503	597.225015
03:19:.526	0.046482	598.247648
03:19:.822	-0.000097	599.418130
03:20:.119	0.009255	600.588603
03:20:.419	0.004526	601.724786
03:20:.712	0.002797	602.865913
03:21:.017	0.065255	603.944676
03:21:.318	0.118931	605.127135
03:21:.624	0.098991	606.254912
03:21:.919	0.082313	607.405136
03:22:.214	-0.118612	608.618618
03:22:.512	0.039333	609.642523
03:22:.788	0.013755	610.740166
03:23:.091	0.044126	611.744665
03:23:.385	0.015947	612.822730
03:23:.661	0.034322	613.934716
03:23:.980	0.010169	615.041310
03:24:.275	0.089108	616.187427
03:24:.566	0.030735	617.442220
03:24:.859	0.005252	618.530453
03:25:.172	0.019310	619.682107
03:25:.484	-0.051323	620.915909
03:25:.790	-0.052818	622.091887
03:26:.088	-0.040587	623.220479
03:26:.379	-0.033683	624.365900
03:26:.656	-0.059659	625.410621
03:26:.940	-0.026718	626.432553
03:27:.241	-0.007343	627.425751
03:27:.527	-0.043995	628.519484
03:27:.858	-0.020904	629.708350
03:28:.158	-0.025671	630.840773
03:28:.453	-0.030281	631.992731
03:28:.762	0.006231	633.156234
03:29:.057	-0.016701	634.319858
03:29:.356	0.033431	635.340378
03:29:.680	0.024385	636.483478
03:29:.987	-0.033386	637.750687
03:30:.298	0.017188	638.843188
03:30:.588	0.002715	640.049876
03:30:.888	0.055596	641.083443
03:31:.198	0.097846	642.172397
03:31:.511	0.047057	643.372036
03:31:.814	0.035892	644.593173
03:32:.114	0.061992	645.767112
03:32:.428	0.052503	647.011866
03:32:.732	0.020359	648.308105
03:33:.060	0.070555	649.517872
03:33:.404	0.041395	650.774757
03:33:.693	-0.021651	652.121185
03:33:.985	0.012064	653.196027
03:34:.268	0.014786	654.334604
03:34:.568	0.073680	655.405132
03:34:.885	0.086420	656.536533
03:35:.174	0.156868	657.710765
03:35:.459	0.097173	658.804438
03:35:.751	0.041070	659.898197
03:36:.050	-0.106593	661.094018
03:36:.338	-0.022439	662.194029
03:36:.610	0.057520	663.223664
03:36:.901	0.069966	664.268611
03:37:.214	0.056744	665.422906
03:37:.531	0.021531	666.591486
03:37:.843	0.034943	667.771033
03:38:.146	-0.012828	668.966473
03:38:.418	0.047094	670.002798
03:38:.730	0.057212	671.027034
03:39:.032	-0.013312	672.236904
03:39:.359	-0.054735	673.432699
03:39:.672	0.005072	674.569875
03:40:.002	0.012969	675.816539
03:40:.304	0.019341	676.983217
03:40:.628	0.030641	678.143392
03:40:.956	-0.007359	679.429643
03:41:.269	-0.022643	680.681732
03:41:.568	-0.066297	681.887328
03:41:.868	-0.061352	682.967266
03:42:.168	-0.099896	684.160001
03:42:.477	-0.067347	685.270244
03:42:.769	-0.063514	686.392550
03:43:.089	-0.046847	687.490864
03:43:.398	-0.048213	688.702102
03:43:.718	-0.050596	689.824835
03:44:.025	-0.075663	691.039517
03:44:.340	-0.020044	692.157129
03:44:.658	-0.043416	693.302921
03:44:.939	-0.088818	694.455688
03:45:.254	-0.012843	695.422521
03:45:.547	-0.028734	696.576732
03:45:.873	-0.029087	697.713132
03:46:.174	0.003635	698.867168
03:46:.472	-0.013382	700.000601
03:46:.787	0.000075	701.135753
03:47:.085	0.035257	702.216051
03:47:.404	-0.007985	703.370938
03:47:.730	-0.000688	704.535303
03:48:.054	0.037495	705.691015
03:48:.365	-0.043778	706.918269
03:48:.650	-0.094072	708.011798
03:48:.950	-0.060387	709.032094
03:49:.281	-0.072559	710.158438
03:49:.606	-0.043413	711.388981
03:49:.932	-0.066621	712.603471
03:50:.254	0.006621	713.738661
03:50:.573	-0.005556	714.893812
03:50:.880	0.050182	715.944022
03:51:.196	-0.051021	717.143389
03:51:.509	-0.051351	718.257702
03:51:.816	-0.001453	719.372899
03:52:.124	-0.046300	720.537514
03:52:.425	0.004224	721.576487
03:52:.756	-0.014923	722.741810
03:53:.077	-0.058547	723.860698
03:53:.379	-0.040742	724.990300
03:53:.704	-0.069238	726.021124
03:54:.014	-0.088561	727.164733
03:54:.319	-0.036711	728.261194
03:54:.634	-0.090446	729.327160
03:54:.942	-0.033713	730.345711
03:55:.235	0.002021	731.444129
03:55:.515	-0.042344	732.492919
03:55:.828	-0.070646	733.519785
03:56:.122	-0.085506	734.614124
03:56:.430	-0.083223	735.670506
03:56:.739	-0.094472	736.698458
03:57:.034	-0.042774	737.770998
03:57:.332	-0.022794	738.805982
03:57:.621	-0.020108	739.840571
03:57:.939	-0.020263	740.851332
03:58:.243	-0.016842	741.920973
03:58:.539	-0.010341	743.002419
03:58:.847	-0.026153	744.048959
03:59:.161	-0.043920	745.156902
03:59:.510	-0.052154	746.262286
03:59:.820	-0.071338	747.507403
04:00:.144	-0.058327	748.641734
04:00:.452	-0.013836	749.816024
04:00:.751	0.004544	750.869959
04:01:.050	-0.056013	751.944222
04:01:.359	-0.080616	753.063416
04:01:.668	-0.078822	753.623990
04:01:.987	-0.139233	755.296801
04:02:.297	-0.075211	756.384106
04:02:.605	-0.094160	757.469164
04:02:.919	-0.091077	758.453238
04:03:.217	-0.048401	759.548489
04:03:.538	-0.025255	760.547562
04:03:.813	-0.005195	761.635845
04:04:.142	-0.019460	762.606891
04:04:.443	0.020929	763.741988
04:04:.740	-0.048965	764.784362
04:05:.043	0.002934	765.816643
04:05:.375	0.038680	766.839762
04:05:.691	-0.029975	767.989769
04:05:.981	-0.030828	769.047317
04:06:.283	-0.072159	770.076600
04:06:.661	-0.038463	771.330129
04:06:.971	-0.005287	772.409339
04:07:.275	0.006902	773.316873
04:07:.575	0.028435	774.371320
04:07:.857	-0.051513	775.438037
04:08:.174	-0.013938	776.398780
04:08:.483	0.008858	777.544177
04:08:.776	-0.045369	778.623553
04:09:.077	-0.020737	779.551597
04:09:.367	0.046214	780.506523
04:09:.685	-0.007511	781.457707
04:10:.007	0.035419	782.482808
04:10:.318	0.009344	783.539115
04:10:.613	0.044447	784.550113
04:10:.900	0.007122	785.549598
04:11:.208	0.053315	786.500831
04:11:.495	-0.040362	787.494156
04:11:.771	-0.008052	788.407570
04:12:.075	0.031068	789.320553
04:12:.393	-0.081087	790.421046
04:12:.706	-0.029285	791.462058
04:13:.019	-0.055648	792.533836
04:13:.324	-0.057602	793.604992
04:13:.646	-0.057111	794.633259
04:13:.950	-0.034933	795.643633
04:14:.252	-0.112055	796.696323
04:14:.563	-0.052691	797.675069
04:14:.867	-0.124050	798.739885
04:15:.139	-0.056037	799.694178
04:15:.424	-0.018888	800.616594
04:15:.739	-0.040403	801.570665
04:16:.040	-0.057648	802.552311
04:16:.351	-0.067149	803.622220
04:16:.641	-0.054876	804.651922
04:16:.940	-0.078058	805.632014
04:17:.248	-0.023726	806.566893
04:17:.553	-0.052723	807.597769
04:17:.865	-0.037593	808.653301
04:18:.164	-0.044260	809.658203
04:18:.478	-0.027356	810.739242
04:18:.794	0.020446	811.839063
04:19:.111	-0.011563	813.034866
04:19:.426	-0.019808	814.137707
04:19:.750	0.007539	815.206981
04:20:.054	0.037901	816.270593
04:20:.370	0.087019	817.300282
04:20:.665	0.081738	818.433168
04:20:.970	0.035810	819.431867
04:21:.285	0.061630	820.495397
04:21:.567	0.084858	821.574933
04:21:.850	0.132992	822.476174
04:22:.135	0.177338	823.417964
04:22:.466	0.132375	824.425644
04:22:.785	0.176004	825.511807
04:23:.107	0.225885	826.558989
04:23:.416	0.187427	827.729798
04:23:.721	0.082223	828.812906
04:24:.041	0.005156	829.936963
04:24:.351	-0.021289	831.048757
04:24:.652	0.023023	832.106100
04:24:.962	0.014046	833.176856
04:25:.252	0.007778	834.208189
04:25:.536	0.050293	835.154549
04:26:.070	0.078359	836.865441
04:26:.359	0.068032	837.905879
04:26:.665	0.098685	838.864829
04:26:.958	0.105940	839.874014
04:27:.267	0.111174	840.796065
04:27:.586	0.155955	841.848503
04:27:.883	0.124066	842.896800
04:28:.169	0.133525	843.951883
04:28:.495	0.123242	845.050375
04:28:.800	0.097109	846.083630
04:29:.099	0.107871	847.119686
04:29:.385	0.135732	848.198629
04:29:.702	0.161890	849.215636
04:30:.012	0.154443	850.280670
04:30:.331	0.046378	851.399333
04:30:.627	0.083336	852.478719
04:30:.911	0.031240	853.568712
04:31:.230	-0.010218	854.548476
04:31:.546	0.027405	855.694318
04:31:.860	0.048102	856.805298
04:32:.149	0.080226	857.844739
04:32:.488	0.052632	859.072154
04:32:.791	0.044219	860.010650
04:33:.124	0.097526	861.117439
04:33:.423	0.039778	862.296556
04:33:.725	0.028742	863.428400
04:34:.057	-0.001017	864.476296
04:34:.403	0.019166	865.613708
04:34:.691	0.002661	866.791097
